Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1996-05-01,228680163538.0,24803.333333333332,77.02,41508.43,4.0,6.0,8.0,7962025.0,22.0,28722.165720433586,0.8772307692307693,1.2222222222222223,0.8547984815277726,0.9719629056654886
1996-06-01,226570830884.67752,24866.666666666668,77.0575,41561.845,4.0,6.0,8.0,7962777.0,22.0,28454.62988951559,0.8778076923076923,1.2222222222222223,0.8533631936655124,0.9719629056654886
1996-07-01,224461498231.355,24930.0,77.095,41615.259999999995,4.0,6.0,8.0,7963529.0,22.0,28187.09405859759,0.8783846153846153,1.2222222222222223,0.8519279058032521,0.9719629056654886
1996-08-01,222352165578.0325,24993.333333333332,77.1325,41668.674999999996,4.0,6.0,8.0,7964281.0,22.0,27919.558227679594,0.8789615384615385,1.2222222222222223,0.8504926179409917,0.9719629056654886
1996-09-01,220242832924.71002,25056.666666666668,77.17,41722.09,4.0,6.0,8.0,7965033.0,22.0,27652.022396761597,0.8795384615384615,1.2222222222222223,0.8490573300787315,0.9719629056654886
1996-10-01,218133500271.3875,25120.0,77.2075,41775.505,4.0,6.0,8.0,7965785.0,22.0,27384.486565843603,0.8801153846153845,1.2222222222222223,0.8476220422164712,0.9719629056654886
1996-11-01,216024167618.065,25183.333333333332,77.24499999999999,41828.92,4.0,6.0,8.0,7966537.0,22.0,27116.950734925606,0.8806923076923077,1.2222222222222223,0.8461867543542109,0.9719629056654886
1996-12-01,213914834964.74252,25246.666666666668,77.2825,41882.335,4.0,6.0,8.0,7967289.0,22.0,26849.414904007608,0.8812692307692307,1.2222222222222223,0.8447514664919507,0.9719629056654886
1997-01-01,211805502311.42,25310.0,77.32,41935.75,4.0,6.0,8.0,7968041.0,22.0,26581.87907308961,0.8818461538461537,1.2222222222222223,0.8433161786296903,0.9719629056654886
1997-02-01,212232809829.63583,25410.0,77.34916666666666,42051.535,4.0,6.0,8.0,7968770.0,22.0,26633.018614121916,0.8822948717948716,1.2222222222222223,0.8436034833867972,0.9719629056654886
1997-03-01,212660117347.85168,25510.0,77.37833333333333,42167.32,4.0,6.0,8.0,7969499.0,22.0,26684.158155154222,0.8827435897435897,1.2222222222222223,0.8438907881439041,0.9719629056654886
1997-04-01,213087424866.0675,25610.0,77.4075,42283.104999999996,4.0,6.0,8.0,7970228.0,22.0,26735.297696186528,0.8831923076923076,1.2222222222222223,0.844178092901011,0.9719629056654886
1997-05-01,213514732384.28336,25710.0,77.43666666666667,42398.89,4.0,6.0,8.0,7970957.0,22.0,26786.437237218837,0.8836410256410255,1.2222222222222223,0.8444653976581179,0.9719629056654886
